film,prod_team,dir_team,director,camera_team,prod_manage_team,depth,download_timeout,download_slot,download_latency,year,country
The 36 Deadly Styles,,,Joseph Kuo,,,3,180.0,13.33.87.143,0.15231943130493164,23 July 1982,West Germany
Golyamoto noshtno kapane,Ivan Petkov,"Roza Alizotova,Kosta Bikov,Vladimir Kraev",Binka Zhelyazkova,"Borislav Borozanov,Todor Costov,Georgi Mihaylov,Georgi Nochev,Damyanka Savova,Valentin Simov,Aleksandr Zlatev",,3,180.0,13.33.87.143,0.16080427169799805,1 December 1980,"Bulgaria,Hungary,Portugal"
Cyborg 009: Legend of the Super Galaxy,,,Masayuki Akehi,,,3,180.0,13.33.87.143,0.1287860870361328,20 December 1980,"Japan,USA,Switzerland,India,Republic of Macedonia,Canada"
Le café des Jules,Paul Vecchiali,Pierre Sénélas,Paul Vecchiali,Philippe Dorelli,,3,180.0,13.33.87.143,0.20632624626159668,May 1988,"France,France,Portugal,France"
Plastposen,Wenche Solum,Jan-Robert Jore,Hans Otto Nicolayssen,"Annbeth Bergh,Gunnar Bøvollen,Knut Haraldsen,Ole Fredrik Haug,Yngvar Lande,Bo Lundgren,Gunnar Moreite",,3,180.0,13.33.87.143,0.14394783973693848,26 December 1986,Norway
The Living Koheiji,"Jimusho Isoda,Shiro Sasaki",Kensuke Suzuki,Nobuo Nakagawa,"Katsuma Hanada,Kenjirô Konaka",,3,180.0,13.33.87.143,0.13917207717895508,4 September 1982,"Japan,Austria,Hong Kong"
La smala,Alain Terzian,"Tristan Ganne,Bruno Herbulot,Michel Thibaud",Jean-Loup Hubert,"Eugène Delsuc,Georges Ferrière,Michel Gesbert,Sylvie Lancrenon,Roger Launay,Eric Monseigny,Patrick Morch,Louis Perret,François Plegades,Jean-Pierre Supe",,3,180.0,13.33.87.143,0.15680789947509766,29 August 1984,France
Menu total,"Christoph Schlingensief,Wolfgang Schulte",,Christoph Schlingensief,"Ralf Malwitz,Norbert Schliewe",,3,180.0,13.33.87.143,0.12725400924682617,20 February 1986,"West Germany,Germany"
Sure Death Revenge,,,Kinji Fukasaku,Sôhei Hasegawa,,3,180.0,13.33.87.143,0.627877950668335,6 June 1987,Japan
Tiger and Crane Shaolin Kung Fu,,,See-Yuen Ng,,,3,180.0,13.33.87.143,0.1395401954650879,,
