film,prod_team,dir_team,director,camera_team,prod_manage_team,depth,download_timeout,download_slot,download_latency,year,country
Munthanai Mudichu,Saravanan M.,,Bhagyaraj,,,3,180.0,13.33.87.143,0.12276101112365723,  1983,India
American Roulette,Michael Gibbs,"Bill Brown,Stephen Challenor,David Fyson,Graham Stickley,Arthur Wicks,Stuart Willis",Maurice Hatton,"Brian Cox,Cynthea Dowling",,3,180.0,13.33.87.143,0.09643912315368652,19 May 1988,"West Germany,USA,Portugal"
Braca po materi,,"Dragisa Bogdanovic,Dragan Ceneric,Sinisa Jovanovic,Svetolik Zajc",Zdravko Sotra,Aida Rodic,,3,180.0,13.33.87.143,0.15446901321411133,30 June 1988,Yugoslavia
The Psychotronic Man,Tommy Irons,,Jack M. Sell,,,3,180.0,13.33.87.143,0.16497397422790527,November 1979,"France,USA"
La muerte del Palomo,,,Pedro Galindo III,,,3,180.0,13.33.87.143,0.11743569374084473,,
Non aver paura della zia Marta,"Antonio Lucidi,Luigi Nannerini",Michéle De Angelis,Mario Bianchi,"Luca Alfieri,Gaetano Barbera,Nino Magostini,Massimo Rocchi,Rolando Stefanelli,Roberto Stiffi,Marcello Tallone",,3,180.0,13.33.87.143,0.13489985466003418,  1988,Italy
Thoongathey Tambi Thoongathey,,,S.P. Muthuraman,,,3,180.0,13.33.87.143,0.10768818855285645,4 November 1983,India
The Dogs,"René Koering,Michel Portal","Michel Grimaud,Anne-Marie Lhote",Alain Jessua,Malika Brahim,,3,180.0,13.33.87.143,0.15444111824035645,7 March 1979,"France,USA,Soviet Union,Netherlands,Portugal,Turkey"
El sádico de Notre-Dame,Daniel White,,Jesús Franco,,,3,180.0,13.33.87.143,0.12218403816223145,  1979,"Spain,USA"
Three Seats for the 26th,Michel Legrand,"Jean-Claude Bourdin,Gabriel Béchir,Thierry Doerflinger,Georges Glon,Françoise Hardy,Yvan Hart,Guy Monbillard,Gilbert Piéri,Hélène Vaillant",Jacques Demy,Marie-Sylvie Caillierez,,3,180.0,13.33.87.143,0.14288902282714844,October 1988,"Japan,France,Denmark,Uruguay,Japan,Sweden"
Gol Krali,Necdet Tok,"Ercan Akyildirim,Asim Par,Murat Özlük",Kartal Tibet,"Ömer Sevinç,Aslan Tektas",,3,180.0,13.33.87.143,0.1563420295715332,19 January 1981,Turkey
Uyarntha Ullam,Ilaiyaraaja,,S.P. Muthuraman,,,3,180.0,13.33.87.143,0.15828227996826172,27 July 1985,India
Shivers,Andrzej Trzaskowski,"Janusz Dwornik,Barbara Kawecka,Alfreda Kotala,Kazimierz Lakomy",Wojciech Marczewski,"Jolanta Grzenda,Malgorzata Stypulkowska",,3,180.0,13.33.87.143,0.1287381649017334,23 November 1981,"Poland,West Germany,USA,USA,Hungary,Poland"
Footloose,"Asao Kumada,Alvaro Mossi",,Stefano Rolla,"Maurizio Maggi,Maurizio Micalizzi,Antonio Nicolosi,Franco Vitale",,3,180.0,13.33.87.143,0.11825990676879883,11 October 1979,"Italy,Portugal"
Edo Porn,Hikaru Hayashi,,Kaneto Shindô,,,3,180.0,13.33.87.143,0.15187311172485352,12 September 1981,"Japan,USA,Hungary"
Midnight Crossing,"Paul Buckmaster,Al Gorgoni","Dirk Brandon,Eugene Bright,Michael Bright,Cathy Carlisle,Daniel Carpio,Harold Collins,Terry Crisp,Robert Cuevas,Mychelle Deschamps,Ellen Dyer,José González,Harold Griner,William Kellow,Karen McKinnon,Beatrice Novoa,Skip Schields,Terry Sigman,Karen Westerfield,O.C. Whiddon,John Balling",Roger Holzberg,"Marie Arnold,Robert J. Ulrich",,3,180.0,13.33.87.143,0.16222691535949707,13 May 1988,"USA,Japan,Turkey"
Separate Vacations,François Protat,"Richard Cadger,Gudrun Christian,Christian T. Cooke,David Evans,Douglas Ganton,David Giammarco,Calvin Greenwood,Wayne Griffin,Jack Heeren,Peter McBurnie,Steve Munro,Reynald Trudel",Michael Anderson,"Lorraine Carson,Aleida MacDonald,Chris J. O'Neil,Mary Partridge-Raynor,Enrique Villavicencio,Kei Yano,Georgina Yarhi",,3,180.0,13.33.87.143,0.15271306037902832,April 1986,"USA,Canada,Sweden"
